ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
AMRZ,0.05709571047564943,120d,0.01451077815800024,0.06638988277053459,0.13066141018724786,0.14055491575361279,0.16547515612729083,0.8571428571428571,0.714,0.714,1.0,0.667,0.667,7,3,Materials,Building Materials,Amrize Ltd,0.87
AJG,0.05682770402673987,120d,-0.17840526323295303,-0.1162094362617932,0.10671902319733484,0.17053402293582026,0.19742031120374326,0.5666666666666667,0.5,0.533,0.5,0.4,0.5,30,10,Financials,Insurance Brokers,Arthur J. Gallagher & Co.,0.21
CRK,0.056567418510310774,120d,-0.2608144571768631,-0.04668686243591383,0.18707321543980082,0.49729866310079623,0.8169321863234988,0.7,0.633,0.567,0.7,0.6,0.5,30,10,Energy,Oil & Gas E&P,"Comstock Resources, Inc.",0.8
OLLI,0.05482374414566682,120d,-0.2908582238467527,-0.031800398301322086,0.14916537054739154,0.22004800973158467,0.30847813449691336,0.7333333333333333,0.7,0.6,0.6,0.5,0.4,30,10,Consumer Staples,,"Ollie's Bargain Outlet Holdings, Inc.",0.77
T,0.0538215932515006,120d,0.01920362656931811,0.09116845902042642,0.18459193537095653,0.24652529850787813,0.27394522074371713,0.9333333333333333,0.767,0.7,0.9,0.6,0.6,30,10,Communication Services,,AT&T Inc.,-0.01
DPZ,0.05335356811725733,120d,-0.16257873101049344,-0.07805049207924988,-0.0005231042857745116,0.07254178139876982,0.1147416115982607,0.5,0.3,0.6,0.5,0.3,0.5,30,10,Consumer Discretionary,Restaurants,"Domino's Pizza, Inc.",0.52
TIGO,0.05286970746022579,120d,0.1489731145407498,0.3869867793950065,0.5223565127449881,0.6063037241656959,0.7954058570872393,1.0,0.967,0.6,1.0,0.9,0.5,30,10,Communication Services,,Millicom International Cellular S.A.,0.28
AG,0.19212037706057672,20d,-0.0653628111646074,-0.024884091416304294,0.2164043938704231,0.2812022675832321,0.40154422147680596,0.7,0.767,0.667,0.6,0.7,0.6,30,10,Materials,Silver,First Majestic Silver Corp.,1.45
CHYM,0.1723298576423331,20d,-0.011090143161547668,0.08268670085422691,0.13837790365321845,0.18459767434228835,0.24736152440325607,0.8571428571428571,0.857,0.857,0.667,0.667,0.667,7,3,Technology,Software - Application,"Chime Financial, Inc.",1.48
SGML,0.11620464101719896,20d,-0.0966073848543666,-0.009047655193931942,0.07861065659392708,0.18907117363946851,0.7660735886778068,0.7333333333333333,0.767,0.8,0.7,0.6,0.7,30,10,Materials,,Sigma Lithium Corporation,1.7
PAAS,0.0924010066258838,20d,-0.017890593562674507,0.018263590833983212,0.13233316948619178,0.2722856648371476,0.3095023761870975,0.7666666666666667,0.9,0.667,0.6,0.7,0.6,30,10,Materials,,Pan American Silver Corp.,1.08
LEU,0.08057725592866649,20d,-0.23471782932785007,-0.0877335779302778,0.0785201095838004,0.19715084616698358,0.6099581139926267,0.5666666666666667,0.633,0.567,0.6,0.8,0.6,30,10,Energy,,Centrus Energy Corp.,1.98
SIL,0.07526820037381199,20d,-0.015360179785432814,0.007906734875326837,0.1151664700878744,0.18567819008696745,0.22888807337182226,0.7666666666666667,0.867,0.633,0.6,0.6,0.5,30,10,Materials,,Global X Silver Miners ETF,1.06
SQM,0.07092972165281597,20d,-0.06537292660052987,-0.02120701097409164,0.0674995939626073,0.1482090983561069,0.24879509822123563,0.6,0.6,0.633,0.6,0.6,0.6,30,10,Materials,,Sociedad Qu?mica y Minera de Chile S.A.,1.11
