ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
MUX,9,-0.192252,1.0,0.0
GTX,9,,,
RS,9,,,
RUM,9,,,
STUB,9,-0.28319083333333334,6.0,0.0
BVN,9,0.064394,1.0,1.0
UBER,9,-0.16500333333333334,3.0,0.0
FICO,9,-0.110612,1.0,0.0
NEOG,9,0.105611,1.0,1.0
AVT,9,,,
EOG,9,,,
ORIC,9,-0.140308,1.0,0.0
AXON,9,0.030602,3.0,0.6666666666666666
IONS,9,0.058025,1.0,1.0
SN,9,0.0121784,5.0,0.4
PSLV,9,-0.0360675,2.0,0.5
B,9,0.023918333333333333,3.0,0.6666666666666666
PRAX,9,-0.142921,3.0,0.0
DE,9,,,
ZM,9,0.002762999999999997,3.0,0.3333333333333333
KWEB,9,-0.07545283333333333,6.0,0.3333333333333333
PI,9,,,
NEU,9,0.031236,1.0,1.0
FCX,9,0.034779000000000004,8.0,0.625
USOI,9,,,
EXPE,9,0.014371749999999997,8.0,0.625
CVS,9,-0.128171,5.0,0.0
EL,9,-0.021095625,8.0,0.375
EPAM,9,0.17284833333333335,3.0,1.0
CCJ,9,-0.041976,2.0,0.5
MOS,9,,,
MP,9,-0.085501,4.0,0.5
ROOT,9,-0.1746192857142857,7.0,0.14285714285714285
ALSN,9,-0.1685355,2.0,0.0
EXE,9,-0.008134,1.0,0.0
FIVN,9,,,
NSP,9,-0.11179466666666667,3.0,0.0
NCLH,9,-0.23077166666666665,9.0,0.0
WFRD,9,,,
KFRC,9,,,
ANDG,9,,,
APD,9,-0.008954000000000002,2.0,0.5
AMSC,9,-0.11851999999999999,2.0,0.0
SPOT,9,0.08311225,4.0,1.0
STAA,9,,,
SCCO,9,0.062519,1.0,1.0
SOXX,9,,,
MMYT,9,-0.18229275,4.0,0.25
MIRM,9,-0.16714,1.0,0.0
MGM,9,-0.138313625,8.0,0.0
ETHE,8,0.1216542,5.0,1.0
TIC,8,-0.107981,2.0,0.0
EPC,8,,,
ETSY,8,,,
PHAT,8,,,
CARR,8,,,
CART,8,-0.0979028,5.0,0.0
ZS,8,,,
IP,8,-0.20634966666666665,3.0,0.0
WSO,8,-0.175078,4.0,0.0
CAKE,8,,,
SOFI,8,-0.017486,1.0,0.0
PLXS,8,,,
PINS,8,-0.2049095,2.0,0.0
AIPO,8,-0.061402,1.0,0.0
VRTX,8,-0.05517933333333334,3.0,0.0
OLLI,8,,,
EMBJ,8,-0.036327625,8.0,0.25
BILI,8,-0.1769965,6.0,0.0
BAI,8,-0.009298,1.0,0.0
CRUS,8,-0.248467,1.0,0.0
NRG,8,,,
NP,8,0.009878,3.0,0.6666666666666666
QCOM,8,,,
QURE,8,-0.164704,1.0,0.0
RCL,8,-0.07929699999999999,2.0,0.5
ONC,8,-0.12046733333333333,3.0,0.0
NTNX,8,0.055323,2.0,1.0
FSLR,8,,,
ATEC,8,0.000636,2.0,0.5
MSGS,8,-0.04428,1.0,0.0
TDOC,8,,,
MSTY,8,,,
VERA,8,-0.1231608,5.0,0.4
BLMN,8,,,
TENB,8,,,
CLF,8,-0.122685,1.0,0.0
APTV,8,,,
VCYT,8,,,
