run_date,ticker,horizon,predicted_edge,sector,p10,p90
2026-06-03,OWL,120d,0.2017326998438137,Financials,-0.2162252706845858,0.4326657469793696
2026-06-03,FORM,120d,0.2006389880089889,Technology,-0.2887665481222459,0.7307712373571862
2026-06-03,ICLR,120d,0.1990200399606565,Healthcare,-0.4122788876374038,0.2446558775749829
2026-06-03,ASML,120d,0.1919829188783263,Semiconductors,-0.2132532019069654,0.4636610717409457
2026-06-03,SRPT,120d,0.1916261208660352,Biotech,-0.3116989957327409,0.3747978323888215
2026-06-03,TER,120d,0.1871148598091543,Technology,-0.2610540089363438,1.245853353553455
2026-06-03,TTAN,120d,0.1834259277863186,Technology,-0.3664406185194281,0.0141647363300354
2026-06-03,BROS,120d,0.1781310392985735,Consumer Discretionary,-0.0724961869281526,0.4880646122128158
2026-06-03,AMAT,120d,0.177072707213965,Semiconductors,-0.2183414216610138,0.5329754111961433
2026-06-03,IP,120d,0.1682320474773676,Consumer Discretionary,-0.2077933189537492,0.3325663310476913
2026-06-03,GDDY,120d,0.1677797921375124,Technology,-0.2962573939913731,0.3841225354357456
2026-06-03,ZETA,120d,0.1659221388767092,Technology,-0.2324325008376365,1.0617182694884422
2026-06-03,FRPT,120d,0.1640638253299713,Consumer Staples,-0.2267068206369276,0.7540712303889104
2026-06-03,CLS,120d,0.1629200500023371,Technology,0.3363716490494056,1.1240170738917747
2026-06-03,GBTC,120d,0.1611059581863695,Crypto,-0.2392338821676882,0.8677071807483007
2026-06-03,WMS,120d,0.1581023346757445,Industrials,-0.2536057187390442,0.3755358543487657
2026-06-03,NTRA,120d,0.157734876772754,Healthcare,0.1167923540610159,0.8412618879471262
2026-06-03,EAT,120d,0.1554949152201111,Consumer Discretionary,-0.1274162164501546,0.7780107417735037
2026-06-03,FN,120d,0.1503203804170415,Technology,-0.0334552578237943,0.6597445425070724
